Store,Dept,Date,Weekly_Pred
1.0,1.0,2011-03-04,20277.787499956787
1.0,1.0,2011-03-11,19493.277499972377
1.0,1.0,2011-03-18,20586.527499963995
1.0,1.0,2011-03-25,24679.097500024363
1.0,1.0,2011-04-01,55708.317499975674
1.0,1.0,2011-04-08,41410.79749995377
1.0,1.0,2011-04-15,16046.847500068136
1.0,1.0,2011-04-22,14595.23749991646
1.0,1.0,2011-04-29,15004.99749990739
1.0,2.0,2011-03-04,48968.48249996267
1.0,2.0,2011-03-11,44322.442499957746
1.0,2.0,2011-03-18,44185.99249995896
1.0,2.0,2011-03-25,42463.05249996204
1.0,2.0,2011-04-01,48021.00249996409
1.0,2.0,2011-04-08,47120.23249995662
1.0,2.0,2011-04-15,45595.52249995805
1.0,2.0,2011-04-22,44988.6124999593
1.0,2.0,2011-04-29,46541.802499967394
1.0,3.0,2011-03-04,11613.812499998603
1.0,3.0,2011-03-11,9461.68249999825
1.0,3.0,2011-03-18,8339.602499993518
1.0,3.0,2011-03-25,9705.082499999553
1.0,3.0,2011-04-01,10495.312499992782
1.0,3.0,2011-04-08,9517.522499992745
1.0,3.0,2011-04-15,8565.032499995083
1.0,3.0,2011-04-22,8207.162499997066
1.0,3.0,2011-04-29,8675.672499985667
1.0,4.0,2011-03-04,37238.16249998426
1.0,4.0,2011-03-11,31820.642499983078
1.0,4.0,2011-03-18,33270.08249997883
1.0,4.0,2011-03-25,33024.04249998531
1.0,4.0,2011-04-01,36961.46249998221
1.0,4.0,2011-04-08,35326.402499980526
1.0,4.0,2011-04-15,33892.16249998612
1.0,4.0,2011-04-22,32958.68249998288
1.0,4.0,2011-04-29,32589.772499980638
1.0,5.0,2011-03-04,25704.85249998886
1.0,5.0,2011-03-11,24121.632499998435
1.0,5.0,2011-03-18,25255.282499976456
1.0,5.0,2011-03-25,41594.60250002332
1.0,5.0,2011-04-01,32590.63249997422
1.0,5.0,2011-04-08,21139.162500020117
1.0,5.0,2011-04-15,14192.982500064187
1.0,5.0,2011-04-22,27386.69249995984
1.0,5.0,2011-04-29,24629.12249986548
1.0,6.0,2011-03-04,1700.3024999881163
1.0,6.0,2011-03-11,3098.0524999909103
1.0,6.0,2011-03-18,2385.1024999897927
1.0,6.0,2011-03-25,4947.382499988191
1.0,6.0,2011-04-01,1611.6624999847263
1.0,6.0,2011-04-08,1907.85249998793
1.0,6.0,2011-04-15,2499.832499988377
1.0,6.0,2011-04-22,1424.2424999829382
1.0,6.0,2011-04-29,2215.202499977313
1.0,7.0,2011-03-04,22201.204999973066
1.0,7.0,2011-03-11,24070.644999958575
1.0,7.0,2011-03-18,25253.094999969937
1.0,7.0,2011-03-25,18795.714999955148
1.0,7.0,2011-04-01,24969.12499995064
1.0,7.0,2011-04-08,23058.144999939017
1.0,7.0,2011-04-15,21871.764999943785
1.0,7.0,2011-04-22,21075.904999965802
1.0,7.0,2011-04-29,25264.984999977052
1.0,8.0,2011-03-04,37275.307499988936
1.0,8.0,2011-03-11,32841.85749999015
1.0,8.0,2011-03-18,32687.73749998398
1.0,8.0,2011-03-25,32080.937499997206
1.0,8.0,2011-04-01,36650.79749999009
1.0,8.0,2011-04-08,32645.17749998998
1.0,8.0,2011-04-15,31389.757499999832
1.0,8.0,2011-04-22,31445.34749998711
1.0,8.0,2011-04-29,32667.447499971837
1.0,9.0,2011-03-04,28258.064999990165
1.0,9.0,2011-03-11,29798.944999985397
1.0,9.0,2011-03-18,37561.354999998584
1.0,9.0,2011-03-25,32091.334999982268
1.0,9.0,2011-04-01,29628.384999984875
1.0,9.0,2011-04-08,30307.034999981523
1.0,9.0,2011-04-15,32976.22499998845
1.0,9.0,2011-04-22,28857.42499998957
1.0,9.0,2011-04-29,28228.78500001505
1.0,10.0,2011-03-04,37484.69249995984
1.0,10.0,2011-03-11,32393.42249996122
1.0,10.0,2011-03-18,37917.2324999664
1.0,10.0,2011-03-25,35592.382499962114
1.0,10.0,2011-04-01,35979.46249996498
1.0,10.0,2011-04-08,36671.70249995962
1.0,10.0,2011-04-15,36320.032499969006
1.0,10.0,2011-04-22,33276.57249995507
1.0,10.0,2011-04-29,34852.01249997504
1.0,11.0,2011-03-04,18722.850000001024
1.0,11.0,2011-03-11,17504.27000000479
1.0,11.0,2011-03-18,19378.36999999499
1.0,11.0,2011-03-25,17232.07999999472
1.0,11.0,2011-04-01,21402.409999997937
1.0,11.0,2011-04-08,21826.759999993257
1.0,11.0,2011-04-15,19631.899999993737
1.0,11.0,2011-04-22,16989.850000013597
1.0,11.0,2011-04-29,19641.700000021025
1.0,12.0,2011-03-04,10964.262499986915
1.0,12.0,2011-03-11,13111.352499988163
1.0,12.0,2011-03-18,13642.752499992028
1.0,12.0,2011-03-25,12590.732499989448
1.0,12.0,2011-04-01,12758.70249998942
1.0,12.0,2011-04-08,10834.202499991516
1.0,12.0,2011-04-15,11913.192499994533
1.0,12.0,2011-04-22,12281.622499985388
1.0,12.0,2011-04-29,11377.04249998345
1.0,13.0,2011-03-04,39579.212500016205
1.0,13.0,2011-03-11,34988.33250001073
1.0,13.0,2011-03-18,35962.4725000083
1.0,13.0,2011-03-25,34586.99250001297
1.0,13.0,2011-04-01,37259.79250001372
1.0,13.0,2011-04-08,36793.70250000944
1.0,13.0,2011-04-15,35818.52250000951
1.0,13.0,2011-04-22,35213.36250001518
1.0,13.0,2011-04-29,35872.46250001504
1.0,14.0,2011-03-04,16071.129999983124
1.0,14.0,2011-03-11,13134.099999985658
1.0,14.0,2011-03-18,10541.129999981262
1.0,14.0,2011-03-25,10634.819999981672
1.0,14.0,2011-04-01,12136.09999998007
1.0,14.0,2011-04-08,10676.419999981299
1.0,14.0,2011-04-15,10111.489999978803
1.0,14.0,2011-04-22,10551.719999978319
1.0,14.0,2011-04-29,9974.66999996733
1.0,16.0,2011-03-04,18838.864999965765
1.0,16.0,2011-03-11,25475.874999945052
1.0,16.0,2011-03-18,43451.26499998104
1.0,16.0,2011-03-25,28388.57499994291
1.0,16.0,2011-04-01,47769.74500001082
1.0,16.0,2011-04-08,54685.72499997588
1.0,16.0,2011-04-15,61252.27499996917
1.0,16.0,2011-04-22,53313.77499996452
1.0,16.0,2011-04-29,50567.135000160895
1.0,17.0,2011-03-04,11305.794999993872
1.0,17.0,2011-03-11,11441.314999997616
1.0,17.0,2011-03-18,9745.944999998901
1.0,17.0,2011-03-25,7548.1549999937415
1.0,17.0,2011-04-01,8220.374999993946
1.0,17.0,2011-04-08,6807.484999994282
1.0,17.0,2011-04-15,6438.8149999952875
1.0,17.0,2011-04-22,6685.124999992549
1.0,17.0,2011-04-29,7417.564999985043
1.0,18.0,2011-03-04,543.5300000151619
1.0,18.0,2011-03-11,1184.0000000042492
1.0,18.0,2011-03-18,2212.280000011029
